,id,variable,n_datapoints,n_days,first_date,last_date,n_unique_values,val_min,val_max
301,20,appCat.unknown,23.0,9.0,2014-03-20,2014-03-25,23.0,3.01,982.955
302,20,appCat.utilities,6.0,1.0,2014-03-25,2014-03-25,6.0,3.011,30.493
303,20,appCat.weather,,,,,,,
304,23,mood,159.0,39.0,2014-03-22,2014-03-30,7.0,2.0,9.0
305,23,circumplex.arousal,159.0,39.0,2014-03-22,2014-03-30,5.0,-2.0,2.0
306,23,circumplex.valence,159.0,39.0,2014-03-22,2014-03-30,5.0,-2.0,2.0
307,23,activity,631.0,44.0,2014-03-22,2014-03-25,236.0,0.0,1.0
308,23,screen,7958.0,44.0,2014-03-22,2014-03-22,6721.0,0.123999834060669,6865.26099991798
309,23,call,79.0,41.0,2014-02-17,2014-04-02,1.0,1.0,1.0
310,23,sms,30.0,19.0,2014-02-18,2014-03-16,1.0,1.0,1.0
311,23,appCat.builtin,2680.0,44.0,2014-03-22,2014-03-23,2060.0,0.187,1077.879
312,23,appCat.communication,7587.0,44.0,2014-03-22,2014-03-22,5335.0,0.081,2409.454
313,23,appCat.entertainment,659.0,42.0,2014-03-22,2014-03-23,639.0,1.002,3783.761
314,23,appCat.finance,,,,,,,
315,23,appCat.game,257.0,28.0,2014-03-26,2014-03-29,253.0,1.01,5491.793
316,23,appCat.office,243.0,12.0,2014-04-01,2014-04-16,240.0,1.004,1397.895
317,23,appCat.other,374.0,40.0,2014-03-22,2014-03-25,359.0,1.006,671.608
318,23,appCat.social,478.0,38.0,2014-03-22,2014-03-23,474.0,1.603,1453.332
319,23,appCat.travel,171.0,29.0,2014-03-24,2014-04-02,167.0,1.002,414.152
320,23,appCat.unknown,202.0,35.0,2014-03-22,2014-03-22,198.0,0.111,753.676
321,23,appCat.utilities,26.0,16.0,2014-03-23,2014-04-19,26.0,1.006,85.56
322,23,appCat.weather,,,,,,,
323,24,mood,238.0,55.0,2014-04-14,2014-04-26,7.0,2.0,9.0
324,24,circumplex.arousal,239.0,55.0,2014-04-14,2014-04-26,5.0,-2.0,2.0
325,24,circumplex.valence,239.0,55.0,2014-04-14,2014-04-26,5.0,-2.0,2.0
326,24,activity,1304.0,57.0,2014-04-14,2014-04-17,273.0,0.0,0.940677966101695
327,24,screen,3026.0,56.0,2014-04-14,2014-04-15,2941.0,0.605999946594238,4881.52600002289
328,24,call,225.0,46.0,2014-04-10,2014-04-18,1.0,1.0,1.0
329,24,sms,61.0,29.0,2014-04-09,2014-05-11,1.0,1.0,1.0
330,24,appCat.builtin,5905.0,56.0,2014-04-14,2014-04-15,3439.0,0.133,4561.849
331,24,appCat.communication,2180.0,56.0,2014-04-14,2014-04-16,1912.0,0.713,5088.935
332,24,appCat.entertainment,103.0,19.0,2014-04-14,2014-04-28,102.0,1.002,94.981
333,24,appCat.finance,,,,,,,
334,24,appCat.game,,,,,,,
335,24,appCat.office,23.0,9.0,2014-04-25,2014-05-04,23.0,2.01,282.191
336,24,appCat.other,256.0,55.0,2014-04-14,2014-04-24,234.0,2.006,65.099
337,24,appCat.social,482.0,51.0,2014-04-15,2014-04-18,403.0,0.855,538.81
338,24,appCat.travel,24.0,8.0,2014-04-15,2014-04-26,24.0,2.007,120.801
339,24,appCat.unknown,28.0,10.0,2014-04-21,2014-05-02,27.0,1.002,374.583
340,24,appCat.utilities,97.0,27.0,2014-04-15,2014-04-24,73.0,0.444,58.358
341,24,appCat.weather,,,,,,,
342,25,mood,131.0,30.0,2014-04-08,2014-04-14,7.0,4.0,10.0
343,25,circumplex.arousal,130.0,30.0,2014-04-08,2014-04-14,5.0,-2.0,2.0
344,25,circumplex.valence,130.0,30.0,2014-04-08,2014-04-14,5.0,-2.0,2.0
345,25,activity,647.0,31.0,2014-04-08,2014-04-09,150.0,0.0,1.0
346,25,screen,2961.0,31.0,2014-04-08,2014-04-08,2909.0,0.623000144958496,4159.4470000267
347,25,call,422.0,69.0,2014-02-17,2014-03-05,1.0,1.0,1.0
348,25,sms,85.0,21.0,2014-03-29,2014-04-08,1.0,1.0,1.0
349,25,appCat.builtin,4837.0,31.0,2014-04-08,2014-04-08,2900.0,0.078,10007.314
